#mes,Ano,Mes,CO2
1,2000,1,  369.05
2,2000,2,  369.37
3,2000,3,  370.42
4,2000,4,  371.57
5,2000,5,  371.74
6,2000,6,  371.60
7,2000,7,  370.02
8,2000,8,  368.03
9,2000,9,  366.53
10,2000,10,  366.64
11,2000,11,  368.20
12,2000,12,  369.44
13,2001,1,  370.20
14,2001,2,  371.42
15,2001,3,  372.04
16,2001,4,  372.78
17,2001,5,  373.94
18,2001,6,  373.23
19,2001,7,  371.54
20,2001,8,  369.47
21,2001,9,  367.88
22,2001,10,  368.01
23,2001,11,  369.60
24,2001,12,  371.16
25,2002,1,  372.36
26,2002,2,  373.00
27,2002,3,  373.44
28,2002,4,  374.77
29,2002,5,  375.48
30,2002,6,  375.33
31,2002,7,  373.95
32,2002,8,  371.41
33,2002,9,  370.63
34,2002,10,  370.18
35,2002,11,  372.01
36,2002,12,  373.71
37,2003,1,  374.61
38,2003,2,  375.55
39,2003,3,  376.04
40,2003,4,  377.58
41,2003,5,  378.28
42,2003,6,  378.07
43,2003,7,  376.54
44,2003,8,  374.42
45,2003,9,  372.92
46,2003,10,  372.94
47,2003,11,  374.29
48,2003,12,  375.63
49,2004,1,  376.73
50,2004,2,  377.31
51,2004,3,  378.33
52,2004,4,  380.44
53,2004,5,  380.56
54,2004,6,  379.49
55,2004,7,  377.70
56,2004,8,  375.77
57,2004,9,  373.99
58,2004,10,  374.17
59,2004,11,  375.79
60,2004,12,  377.39
61,2005,1,  378.29
62,2005,2,  379.56
63,2005,3,  380.07
64,2005,4,  382.01
65,2005,5,  382.21
66,2005,6,  382.05
67,2005,7,  380.63
68,2005,8,  378.64
69,2005,9,  376.38
70,2005,10,  376.77
71,2005,11,  378.27
72,2005,12,  379.93
73,2006,1,  381.33
74,2006,2,  381.98
75,2006,3,  382.53
76,2006,4,  384.33
77,2006,5,  384.89
78,2006,6,  384.00
79,2006,7,  382.25
80,2006,8,  380.44
81,2006,9,  378.77
82,2006,10,  379.03
83,2006,11,  380.11
84,2006,12,  381.63
85,2007,1,  382.55
86,2007,2,  383.68
87,2007,3,  384.31
88,2007,4,  386.19
89,2007,5,  386.38
90,2007,6,  385.85
91,2007,7,  384.42
92,2007,8,  381.81
93,2007,9,  380.83
94,2007,10,  380.83
95,2007,11,  382.32
96,2007,12,  383.58
97,2008,1,  385.04
98,2008,2,  385.81
99,2008,3,  385.80
100,2008,4,  386.74
101,2008,5,  388.48
102,2008,6,  388.02
103,2008,7,  386.22
104,2008,8,  384.05
105,2008,9,  383.05
106,2008,10,  382.75
107,2008,11,  383.98
108,2008,12,  385.08
109,2009,1,  386.63
110,2009,2,  387.10
111,2009,3,  388.50
112,2009,4,  389.54
113,2009,5,  390.15
114,2009,6,  389.60
115,2009,7,  388.05
116,2009,8,  386.06
117,2009,9,  384.64
118,2009,10,  384.32
119,2009,11,  386.05
120,2009,12,  387.48
121,2010,1,  388.55
122,2010,2,  390.08
123,2010,3,  391.02
124,2010,4,  392.39
125,2010,5,  393.24
126,2010,6,  392.26
127,2010,7,  390.35
128,2010,8,  388.53
129,2010,9,  386.85
130,2010,10,  387.18
131,2010,11,  388.69
132,2010,12,  389.83
133,2011,1,  391.33
134,2011,2,  391.96
135,2011,3,  392.49
136,2011,4,  393.40
137,2011,5,  394.33
138,2011,6,  393.75
139,2011,7,  392.64
140,2011,8,  390.25
141,2011,9,  389.05
142,2011,10,  388.98
143,2011,11,  390.30
144,2011,12,  391.86
145,2012,1,  393.13
146,2012,2,  393.42
147,2012,3,  394.43
148,2012,4,  396.51
149,2012,5,  396.96
150,2012,6,  395.97
151,2012,7,  394.60
152,2012,8,  392.61
153,2012,9,  391.20
154,2012,10,  391.09
155,2012,11,  393.03
156,2012,12,  394.42
157,2013,1,  395.69
158,2013,2,  396.94
159,2013,3,  397.35
160,2013,4,  398.44
161,2013,5,  400.06
162,2013,6,  398.96
163,2013,7,  397.45
164,2013,8,  395.49
165,2013,9,  393.47
166,2013,10,  393.77
167,2013,11,  395.27
168,2013,12,  396.90
169,2014,1,  398.01
170,2014,2,  398.18
171,2014,3,  399.56
172,2014,4,  401.43
173,2014,5,  401.98
174,2014,6,  401.41
175,2014,7,  399.17
176,2014,8,  397.30
177,2014,9,  395.49
178,2014,10,  395.74
179,2014,11,  397.32
180,2014,12,  398.88
181,2015,1,  399.95
182,2015,2,  400.40
183,2015,3,  401.60
184,2015,4,  403.52
185,2015,5,  404.04
186,2015,6,  402.81
187,2015,7,  401.54
188,2015,8,  398.93
189,2015,9,  397.43
190,2015,10,  398.22
191,2015,11,  400.17
192,2015,12,  401.82
193,2016,1,  402.58
194,2016,2,  404.09
195,2016,3,  404.79
196,2016,4,  407.50
197,2016,5,  407.59
198,2016,6,  406.94
199,2016,7,  404.43
200,2016,8,  402.17
201,2016,9,  400.95
202,2016,10,  401.43
203,2016,11,  403.57
204,2016,12,  404.48
205,2017,1,  406.00
206,2017,2,  406.57
207,2017,3,  406.99
208,2017,4,  408.88
209,2017,5,  409.84
210,2017,6,  409.05
211,2017,7,  407.13
212,2017,8,  405.17
213,2017,9,  403.20
214,2017,10,  403.57
215,2017,11,  405.10
216,2017,12,  406.68
217,2018,1,  407.98
218,2018,2,  408.36
219,2018,3,  409.21
220,2018,4,  410.23
221,2018,5,  411.23
222,2018,6,  410.82
223,2018,7,  408.83
224,2018,8,  407.02
225,2018,9,  405.53
226,2018,10,  405.93
227,2018,11,  408.04
228,2018,12,  409.17
229,2019,1,  410.85
230,2019,2,  411.59
231,2019,3,  411.91
232,2019,4,  413.46
233,2019,5,  414.76
234,2019,6,  413.89
235,2019,7,  411.78
236,2019,8,  410.01
237,2019,9,  408.48
238,2019,10,  408.40
239,2019,11,  410.16
240,2019,12,  411.81
241,2020,1,  413.30
242,2020,2,  414.05
243,2020,3,  414.45
244,2020,4,  416.11
245,2020,5,  417.15
246,2020,6,  416.29
247,2020,7,  414.42
248,2020,8,  412.52
249,2020,9,  411.18
250,2020,10,  411.12
251,2020,11,  412.88
252,2020,12,  413.89
253,2021,1,  415.15
254,2021,2,  416.48
255,2021,3,  417.16
256,2021,4,  418.24
257,2021,5,  418.95
258,2021,6,  418.70
259,2021,7,  416.65
260,2021,8,  414.34
261,2021,9,  412.90
262,2021,10,  413.55
263,2021,11,  414.82
264,2021,12,  416.43
265,2022,1,  418.01
266,2022,2,  418.99
267,2022,3,  418.45
268,2022,4,  420.02
269,2022,5,  420.77
270,2022,6,  420.68
271,2022,7,  418.68
272,2022,8,  416.76
273,2022,9,  415.41
274,2022,10,  415.31
275,2022,11,  417.04
276,2022,12,  418.57
277,2023,1,  419.24
278,2023,2,  420.33
279,2023,3,  420.51
280,2023,4,  422.73
281,2023,5,  423.78
282,2023,6,  423.39
